rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_international_outlook,scores_international_outlook_rank,scores_industry_income,scores_industry_income_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,location,aliases,subjects_offered,closed,unaccredited
185,185,University of Twente,47.5,185,49.9,112,62.4,76,49.8,54,48.3,125,42,192,Netherlands,University of Twente,"Other Health,Psychology,Computer Science,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Accounting & Finance,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Communication & Media Studies,Business & Management,General Engineering,Mathematics & Statistics,Law,Chemistry,Economics & Econometrics,Civil Engineering,Sociology,History, Philosophy & Theology,Electrical & Electronic Engineering,Physics & Astronomy,Education,Biological Sciences,Geography,Sport Science,Medicine & Dentistry",FALSE,FALSE
186,186,University of Konstanz,47.3,186,42.7,161,93.6,11,-,183,40.1,174,51.3,177,Germany,University of Konstanz,"Art, Performing Arts & Design,Chemistry,History, Philosophy & Theology,Sport Science,Psychology,Economics & Econometrics,Education,Languages, Literature & Linguistics,Communication & Media Studies,Accounting & Finance,Biological Sciences,Business & Management,Politics & International Studies (incl Development Studies),Law,Computer Science,Physics & Astronomy,Sociology,Mathematics & Statistics",FALSE,FALSE
187,187,Karlsruhe Institute of Technology,47.2,187,45,147,47.3,110,40,81,35.4,190,60.7,141,Germany,Karlsruhe Institute of Technology,"Communication & Media Studies,Mechanical & Aerospace Engineering,Computer Science,Chemical Engineering,Art, Performing Arts & Design,Chemistry,Electrical & Electronic Engineering,Mathematics & Statistics,Architecture,Sport Science,Geography,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Education,Accounting & Finance,Physics & Astronomy,Economics & Econometrics,Biological Sciences,History, Philosophy & Theology,Business & Management,General Engineering",FALSE,FALSE
187,187,University of Innsbruck,47.2,188,37.9,186,99.5,3,35,102,34.8,191,60.2,146,Austria,University of Innsbruck,"Chemical Engineering,Architecture,Psychology,Computer Science,Communication & Media Studies,Sociology,Physics & Astronomy,Archaeology,Economics & Econometrics,Electrical & Electronic Engineering,Chemistry,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Law,Accounting & Finance,Business & Management,Sport Science,General Engineering,Education,Geography,Mathematics & Statistics,Civil Engineering,History, Philosophy & Theology,Other Health,Biological Sciences",FALSE,FALSE
189,189,University of Tübingen,47,189,45.9,143,57.8,86,32.3,114,36.3,183,57.3,161,Germany,University of Tübingen,"History, Philosophy & Theology,Education,Sociology,Politics & International Studies (incl Development Studies),Economics & Econometrics,Communication & Media Studies,Medicine & Dentistry,Sport Science,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Archaeology,Computer Science,Geography,Physics & Astronomy,Biological Sciences,Other Health,Mathematics & Statistics,Accounting & Finance,Chemistry,Business & Management,Law,Psychology",FALSE,FALSE
190,190,Yonsei University,46.9,192,43,159,28,160,40.4,79,48.7,121,52.2,172,South Korea,Yonsei University,"Architecture,Biological Sciences,Business & Management,Chemical Engineering,Chemistry,Civil Engineering,Computer Science,Economics & Econometrics,Education,Electrical & Electronic Engineering,General Engineering,History, Philosophy & Theology,Languages, Literature & Linguistics,Law,Mathematics & Statistics,Mechanical & Aerospace Engineering,Medicine & Dentistry,Other Health,Physics & Astronomy,Sociology",FALSE,FALSE
190,190,University of Cincinnati – Uptown,46.9,191,43.6,153,18.9,185,32.5,112,40.4,172,61.5,139,United States,University of Cincinnati – Uptown,"Electrical & Electronic Engineering,Economics & Econometrics,Education,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Archaeology,Communication & Media Studies,Computer Science,Agriculture & Forestry,Chemistry,Business & Management,Sociology,Psychology,General Engineering,Other Health,Architecture,Geography,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Mechanical & Aerospace Engineering,Languages, Literature & Linguistics,Accounting & Finance,Chemical Engineering,Physics & Astronomy,Art, Performing Arts & Design,Civil Engineering,History, Philosophy & Theology,Mathematics & Statistics,Law",FALSE,FALSE
190,190,Drexel University,46.9,190,45,146,60.6,77,27.4,134,35.9,187,58.2,156,United States,Drexel University,"Education,Physics & Astronomy,Accounting & Finance,Mechanical & Aerospace Engineering,Computer Science,Biological Sciences,Architecture,General Engineering,Communication & Media Studies,Medicine & Dentistry,Languages, Literature & Linguistics,Art, Performing Arts & Design,Politics & International Studies (incl Development Studies),Chemical Engineering,Electrical & Electronic Engineering,Sport Science,Business & Management,Economics & Econometrics,Law,History, Philosophy & Theology,Psychology,Veterinary Science,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Sociology,Mathematics & Statistics,Other Health,Chemistry,Agriculture & Forestry",FALSE,FALSE
193,193,Dalhousie University,46.8,193,41.6,167,44.9,115,-,149,50.2,108,48.8,182,Canada,Dalhousie University,"Law,General Engineering,Mathematics & Statistics,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Medicine & Dentistry,Other Health,Sport Science,Communication & Media Studies,Languages, Literature & Linguistics,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Business & Management,Chemical Engineering,Architecture,Electrical & Electronic Engineering,Sociology,Veterinary Science,Civil Engineering,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Chemistry,Computer Science,Physics & Astronomy,Biological Sciences,Psychology,Accounting & Finance",FALSE,FALSE
193,193,KTH Royal Institute of Technology,46.8,194,49.1,119,64.2,63,100,4,56.2,70,29.2,199,Sweden,KTH Royal Institute of Technology,"Business & Management,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Civil Engineering,Economics & Econometrics,Biological Sciences,Chemical Engineering,Chemistry,Education,Mathematics & Statistics,Physics & Astronomy,Computer Science,Geology, Environmental, Earth & Marine Sciences,General Engineering,Architecture",FALSE,FALSE
195,195,University of Vienna,46.7,195,47.6,129,63.2,68,27,136,45.7,143,45.6,184,Austria,University of Vienna,"Communication & Media Studies,Education,Law,Economics & Econometrics,Sport Science,Psychology,Biological Sciences,Sociology,Other Health,Physics & Astronomy,Archaeology,Mathematics & Statistics,History, Philosophy & Theology,Computer Science,Politics & International Studies (incl Development Studies),Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Geography,Languages, Literature & Linguistics,Business & Management,Chemistry",FALSE,FALSE
196,196,Kent State University,46.5,196,33.5,196,15.9,191,26.3,139,33.3,197,76.8,83,United States,Kent State University,"Physics & Astronomy,Geography,Mechanical & Aerospace Engineering,Accounting & Finance,General Engineering,Politics & International Studies (incl Development Studies),Architecture,Communication & Media Studies,Medicine & Dentistry,Computer Science,Art, Performing Arts & Design,Sociology,Geology, Environmental, Earth & Marine Sciences,Other Health,Education,Mathematics & Statistics,Languages, Literature & Linguistics,Economics & Econometrics,Sport Science,Biological Sciences,Business & Management,Chemistry,History, Philosophy & Theology,Psychology,Veterinary Science",FALSE,FALSE
197,197,University of Illinois Chicago,46.4,197,57.8,68,51.8,101,-,180,46.8,137,34.7,197,United States,University of Illinois Chicago,"Civil Engineering,Communication & Media Studies,Business & Management,Art, Performing Arts & Design,Physics & Astronomy,General Engineering,Archaeology,Biological Sciences,Geography,Computer Science,Chemical Engineering,Law,Mathematics & Statistics,Languages, Literature & Linguistics,History, Philosophy & Theology,Medicine & Dentistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Other Health,Chemistry,Education,Psychology,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Architecture,Accounting & Finance,Sport Science,Sociology,Electrical & Electronic Engineering",FALSE,FALSE
197,197,Zhejiang University,46.4,198,54.6,87,29.6,155,70.3,31,41.3,169,44.3,190,China,Zhejiang University ZJU Zhejiang University China research,"Architecture,Other Health,Biological Sciences,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Veterinary Science,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,History, Philosophy & Theology,General Engineering,Sport Science,Geography,Art, Performing Arts & Design,Communication & Media Studies,Computer Science,Medicine & Dentistry,Physics & Astronomy,Law,Economics & Econometrics,Agriculture & Forestry,Psychology,Business & Management,Chemical Engineering,Mathematics & Statistics,Archaeology,Accounting & Finance,Education,Chemistry,Sociology,Civil Engineering,Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
199,199,Simon Fraser University,46.2,199,32.9,198,51.9,100,37.9,94,44.2,149,60.2,144,Canada,Simon Fraser University,"Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Education,Psychology,Chemistry,Languages, Literature & Linguistics,Biological Sciences,Communication & Media Studies,Art, Performing Arts & Design,Electrical & Electronic Engineering,Other Health,Sociology,Mathematics & Statistics,Law,Computer Science,Business & Management,Geography,Sport Science,Archaeology,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Accounting & Finance,Physics & Astronomy",FALSE,FALSE
199,199,Swedish University of Agricultural Sciences,46.2,200,43.3,156,-,196,99.9,8,49.5,111,41.7,193,Sweden,Swedish University of Agricultural Sciences,"Civil Engineering,Communication & Media Studies,Biological Sciences,Agriculture & Forestry,Architecture,Business & Management,Economics & Econometrics,Veterinary Science,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences",FALSE,FALSE
